,Class ID,imageNet_class,max_similarity_ratio,dbpedia_class
870,870,"['tricycle', 'trike', 'velocipede']",78,motorcycle
848,848,['tape player'],78,poker player
707,707,"['pay-phone', 'pay-station']",78,station
830,830,['stretcher'],78,streetcar
784,784,['screwdriver'],78,screenwriter
874,874,"['trolleybus', 'trolley coach', 'trackless trolley']",77,college coach
395,395,"['gar', 'garfish', 'garpike', 'billfish', 'Lepisosteus osseus']",77,parish
375,375,"['colobus', 'colobus monkey']",77,colour
322,322,"['ringlet', 'ringlet butterfly']",77,single
36,36,['terrapin'],77,train
816,816,['spindle'],77,single
472,472,['canoe'],77,canoeist
791,791,['shopping cart'],77,shopping mall
513,513,"['cornet', 'horn', 'trumpet', 'trump']",77,contest
415,415,"['bakery', 'bakeshop', 'bakehouse']",77,battery
412,412,"['ashcan', 'trash can', 'garbage can', 'wastebin', 'ash bin', 'ash-bin', 'ashbin', 'dustb', 'trash barrel', ""trash bin'"", '']",77,fashion
845,845,['syringe'],77,single
231,231,['collie'],77,college
890,890,['volleyball'],77,volleyball coach
990,990,"['buckeye', 'horse chestnut', 'conker']",77,conifer
820,820,['steam locomotive'],77,locomotive
828,828,['strainer'],77,train
429,429,['baseball'],76,baseball team
817,817,"['sports car', 'sport car']",76,sports team
895,895,"['warplane', 'military plane']",76,military person
560,560,['football helmet'],76,football match
132,132,"['American egret', 'great white heron', 'Egretta albus']",76,American Leader
671,671,"['mountain bike', 'all-terrain bike', 'off-roader']",76,mountain
672,672,['mountain tent'],76,mountain
64,64,['green mamba'],76,green alga
400,400,"['academic gown', 'academic robe', ""judge's robe""]",76,academic journal
733,733,['pole'],75,poem
832,832,"['stupa', 'tope']",75,type
451,451,"['bolo tie', 'bolo', 'bola tie', 'bola']",75,book
725,725,"['pitcher', 'ewer']",75,beer
847,847,"['tank', 'army tank', 'armored combat vehicle', 'armoured combat vehicle']",75,bank
459,459,"['brassiere', 'bra', 'bandeau']",75,brain
849,849,['teapot'],75,team sport
536,536,"['dock', 'dockage', 'docking facility']",75,lock
859,859,['toaster'],75,monastery
578,578,['gown'],75,town
541,541,"['drum', 'membranophone', 'tympan']",75,drug
331,331,['hare'],75,area
498,498,"['cinema', 'movie theater', 'movie theatre', 'movie house', 'picture palace']",75,movie genre
978,978,"['seashore', 'coast', 'seacoast', 'sea-coast']",75,cat
983,983,['scuba diver'],75,nascar driver
650,650,"['microphone', 'mike']",75,dike
655,655,"['miniskirt', 'mini']",75,mine
23,23,['vulture'],75,Sculpture
883,883,['vase'],75,case
863,863,['totem pole'],75,temple
637,637,"['mailbox', 'letter box']",75,letter
714,714,"['pick', 'plectrum', 'plectron']",75,Election
348,348,"['ram', 'tup']",75,drama
7,7,['cock'],75,lock
357,357,['mink'],75,mine
494,494,"['chime', 'bell', 'gong']",75,song
310,310,"['ant', 'emmet', 'pismire']",75,plant
399,399,['abaya'],75,bay
961,961,['dough'],75,dog
425,425,['barn'],75,bank
507,507,['combination lock'],75,combination drug
555,555,"['fire engine', 'fire truck']",75,rocket engine
806,806,['sock'],75,lock
474,474,['cardigan'],75,cardinal
427,427,"['barrel', 'cask']",75,case
426,426,['barometer'],75,baronet
867,867,"['trailer truck', 'tractor trailer', 'trucking rig', 'rig', 'articulated lorry', 'sem', '']",75,reign
683,683,"['oboe', 'hautboy', 'hautbois']",75,bone
421,421,"['bannister', 'banister', 'balustrade', 'balusters', 'handrail']",75,minister
795,795,['ski'],75,skier
944,944,"['artichoke', 'globe artichoke']",75,article
577,577,"['gong', 'tam-tam']",75,song
779,779,['school bus'],75,school
908,908,['wing'],75,wine
482,482,['cassette player'],74,chess player
649,649,"['megalith', 'megalithic structure']",74,military structure
736,736,"['pool table', 'billiard table', 'snooker table']",74,snooker player
137,137,"['American coot', 'marsh hen', 'mud hen', 'water hen', 'Fulica americana']",74,water ride
436,436,"['beach wagon', 'station wagon', 'wagon', 'estate car', 'beach waggon', 'station wagg', ""waggon'"", '']",74,station
598,598,"['home theater', 'home theatre']",74,theatre
213,213,"['Irish setter', 'red setter']",74,presenter
405,405,"['airship', 'dirigible']",73,ship
